0,1,3,5,7,9,11,13,16,19
1,3,5,7,9,11,13,16,19,22
2,0,1,3,5,7,9,11,13,16
3,5,7,9,11,13,16,19,22,25
4,2,0,1,3,5,7,9,11,13
5,7,9,11,13,16,19,22,25,28
6,4,2,0,1,3,5,7,9,11
7,9,11,13,16,19,22,25,28,31
8,6,4,2,0,1,3,5,7,9
9,11,13,16,19,22,25,28,31,34
10,8,6,4,2,0,1,3,5,7
11,13,16,19,22,25,28,31,34,37
12,10,8,6,4,2,0,1,3,5
13,16,19,22,25,28,31,34,37,40
14,12,10,8,6,4,2,0,1,3
15,13,16,19,22,25,28,31,34,37
16,19,22,25,28,31,34,37,40,43
17,14,12,10,8,6,4,2,0,1
18,15,13,16,19,22,25,28,31,34
19,22,25,28,31,34,37,40,43,47
20,17,14,12,10,8,6,4,2,0
21,18,15,13,16,19,22,25,28,31
22,25,28,31,34,37,40,43,47,51
23,20,17,14,12,10,8,6,4,2
24,21,18,15,13,16,19,22,25,28
25,28,31,34,37,40,43,47,51,55
26,23,20,17,14,12,10,8,6,4
27,24,21,18,15,13,16,19,22,25
28,31,34,37,40,43,47,51,55,59
29,26,23,20,17,14,12,10,8,6
30,27,24,21,18,15,13,16,19,22
31,34,37,40,43,47,51,55,59,63
32,29,26,23,20,17,14,12,10,8
33,30,27,24,21,18,15,13,16,19
34,37,40,43,47,51,55,59,63,67
35,32,29,26,23,20,17,14,12,10
36,33,30,27,24,21,18,15,13,16
37,40,43,47,51,55,59,63,67,71
38,35,32,29,26,23,20,17,14,12
39,36,33,30,27,24,21,18,15,13
40,43,47,51,55,59,63,67,71,76
41,38,35,32,29,26,23,20,17,14
42,46,42,46,42,46,42,46,42,46
42,46,42,46,42,46,42,46,42,39
42,46,42,46,42,46,42,39,36,33
42,46,42,46,42,39,36,33,30,27
42,46,42,39,36,33,30,27,24,21
42,39,36,33,30,27,24,21,18,15
43,47,51,55,59,63,67,71,76,81
44,41,38,35,32,29,26,23,20,17
45,42,46,42,46,42,46,42,46,42
45,42,46,42,46,42,46,42,39,36
45,42,46,42,46,42,39,36,33,30
45,42,46,42,39,36,33,30,27,24
45,42,39,36,33,30,27,24,21,18
46,42,46,42,46,42,46,42,46,42
46,42,46,42,46,42,46,42,39,36
46,42,46,42,46,42,39,36,33,30
46,42,46,42,39,36,33,30,27,24
46,42,39,36,33,30,27,24,21,18
47,51,55,59,63,67,71,76,81,86
48,44,41,38,35,32,29,26,23,20
49,45,42,46,42,46,42,46,42,46
49,45,42,46,42,46,42,46,42,39
49,45,42,46,42,46,42,39,36,33
49,45,42,46,42,39,36,33,30,27
49,45,42,39,36,33,30,27,24,21
50,46,42,46,42,46,42,46,42,46
50,46,42,46,42,46,42,46,42,39
50,46,42,46,42,46,42,39,36,33
50,46,42,46,42,39,36,33,30,27
50,46,42,39,36,33,30,27,24,21
51,55,59,63,67,71,76,81,86,91
52,48,44,41,38,35,32,29,26,23
53,49,45,42,46,42,46,42,46,42
53,49,45,42,46,42,46,42,39,36
53,49,45,42,46,42,39,36,33,30
53,49,45,42,39,36,33,30,27,24
54,50,46,42,46,42,46,42,46,42
54,50,46,42,46,42,46,42,39,36
54,50,46,42,46,42,39,36,33,30
54,50,46,42,39,36,33,30,27,24
55,59,63,67,71,76,81,86,91,96
56,52,48,44,41,38,35,32,29,26
57,53,49,45,42,46,42,46,42,46
57,53,49,45,42,46,42,46,42,39
57,53,49,45,42,46,42,39,36,33
57,53,49,45,42,39,36,33,30,27
58,54,50,46,42,46,42,46,42,46
58,54,50,46,42,46,42,46,42,39
58,54,50,46,42,46,42,39,36,33
58,54,50,46,42,39,36,33,30,27
59,63,67,71,76,81,86,91,96,101
60,56,52,48,44,41,38,35,32,29
61,57,53,49,45,42,46,42,46,42
61,57,53,49,45,42,46,42,39,36
61,57,53,49,45,42,39,36,33,30
62,58,54,50,46,42,46,42,46,42
62,58,54,50,46,42,46,42,39,36
62,58,54,50,46,42,39,36,33,30
63,67,71,76,81,86,91,96,101,107
64,60,56,52,48,44,41,38,35,32
65,61,57,53,49,45,42,46,42,46
65,61,57,53,49,45,42,46,42,39
65,61,57,53,49,45,42,39,36,33
66,62,58,54,50,46,42,46,42,46
66,62,58,54,50,46,42,46,42,39
66,62,58,54,50,46,42,39,36,33
67,71,76,81,86,91,96,101,107,113
68,64,60,56,52,48,44,41,38,35
69,65,61,57,53,49,45,42,46,42
69,65,61,57,53,49,45,42,39,36
69,73,78,83,88,93,98,103,98,103
70,66,62,58,54,50,46,42,46,42
70,66,62,58,54,50,46,42,39,36
71,76,81,86,91,96,101,107,113,120
72,68,64,60,56,52,48,44,41,38
73,78,83,88,93,98,103,98,103,98
74,69,65,61,57,53,49,45,42,46
74,69,65,61,57,53,49,45,42,39
74,69,73,78,83,88,93,98,103,98
75,70,66,62,58,54,50,46,42,46
75,70,66,62,58,54,50,46,42,39
76,81,86,91,96,101,107,113,120,127
77,72,68,64,60,56,52,48,44,41
78,83,88,93,98,103,98,103,98,103
79,74,69,65,61,57,53,49,45,42
79,74,69,73,78,83,88,93,98,103
80,75,70,66,62,58,54,50,46,42
81,86,91,96,101,107,113,120,127,134
82,77,72,68,64,60,56,52,48,44
83,88,93,98,103,98,103,98,103,98
84,79,74,69,65,61,57,53,49,45
84,79,74,69,73,78,83,88,93,98
85,80,75,70,66,62,58,54,50,46
86,91,96,101,107,113,120,127,134,142
86,91,96,101,107,113,120,127,134,141
87,82,77,72,68,64,60,56,52,48
88,93,98,103,98,103,98,103,98,103
89,84,79,74,69,65,61,57,53,49
89,84,79,74,69,73,78,83,88,93
90,85,80,75,70,66,62,58,54,50
91,96,101,107,113,120,127,134,142,150
91,96,101,107,113,120,127,134,141,149
92,87,82,77,72,68,64,60,56,52
93,98,103,98,103,98,103,98,103,98
94,89,84,79,74,69,65,61,57,53
94,89,84,79,74,69,73,78,83,88
95,90,85,80,75,70,66,62,58,54
96,101,107,113,120,127,134,142,150,158
96,101,107,113,120,127,134,141,149,157
97,92,87,82,77,72,68,64,60,56
98,103,98,103,98,103,98,103,98,103
99,94,89,84,79,74,69,65,61,57
99,94,89,84,79,74,69,73,78,83
100,105,111,118,125,132,139,147,155,163
101,107,113,120,127,134,142,150,158,166
101,107,113,120,127,134,141,149,157,165
102,97,92,87,82,77,72,68,64,60
103,98,103,98,103,98,103,98,103,98
104,99,94,89,84,79,74,69,65,61
104,99,94,89,84,79,74,69,73,78
105,111,118,125,132,139,147,155,163,172
106,100,105,111,118,125,132,139,147,155
