dFbip4uo7CNu86y52Axc5g,40.734852,-73.990707,224.0,manhattan
_dlEF8O77LTsFm2G9m7EiA,40.734815,-73.990746,217.0,manhattan
thHNT6bNnDbhk-v_XGQFxA,40.734885,-73.99066299999998,230.0,manhattan
bD6KuUjg14nNhuRUa3v9kw,40.7348,-73.99074,122.0,manhattan
cy2OJnJJFLgScEARzdvLcA,40.734776,-73.99078,212.0,manhattan
O7F1cgzFe0XlOk_oogCV7g,40.734837,-73.990813,122.0,manhattan
yP-w0bVlzAiQWa1Xt6zdjw,40.734914,-73.990617,234.0,manhattan
voRwxfZTi9_9KxZswVR9sA,40.734772,-73.99068100000001,120.0,manhattan
Wcrr1r-IAljTX0OGsucqIQ,40.734689,-73.990831,200.0,manhattan
et41kVVkQSmrjB83mZhxGw,40.734869,-73.99088399999998,118.0,manhattan
Vvy-e1K2zH8NCBdCZorLAQ,40.734989,-73.990477,237.0,manhattan
ciNlGrGVUFwIEbK6FPgOLg,40.734724,-73.990575,119.0,manhattan
KjZCI6R7eT8GTM8Op_UxlA,40.734601,-73.99085999999998,193.0,manhattan
JRquPKgarQERv-R66WtMQQ,40.734913,-73.990993,118.0,manhattan
QStORAJhSx2ybJXOJhiEjA,40.735015,-73.990428,236.0,manhattan
LaiSEQqSd0Xhaww5PpaqQQ,40.734702,-73.99052299999998,119.0,manhattan
QaHErPmQVsLmOevNBPPr_A,40.734514,-73.990881,190.0,manhattan
EHEmO2A2BxGx2hc0Dbrohw,40.734961,-73.99110899999998,118.0,manhattan
D3chm3INktEdQmqvI0drfg,40.735041,-73.990378,234.0,manhattan
jC2O0paGnKhSQqthG4V8yQ,40.734658,-73.990424,119.0,manhattan
eck5N6McDIhchNb6ygazeQ,40.734385,-73.990903,185.0,manhattan
tWwgg5bwEee8YEY2EJS8xQ,40.734984,-73.991166,118.0,manhattan
F8nRlLiAitQAE6t-VrA77w,40.735097,-73.990284,230.0,manhattan
rzRqii31MfKSO7FSZmdDtg,40.734615000000005,-73.990328,119.0,manhattan
lFK5gUkXeN4-GZnMkJ7AfA,40.734267,-73.99092,189.0,manhattan
s2UWSHfiJ4IVRG7tOfz5uQ,40.735008,-73.99122599999998,117.0,manhattan
h-DWeV8yIHMo2kkayOUx9A,40.735167,-73.990188,222.0,manhattan
jfudd0Otk7oZdUsNJ-Ow-g,40.734571,-73.990227,119.0,manhattan
gffHR39E5xttIH4Di03uAQ,40.734175,-73.990938,189.0,manhattan
bA2sm3UW8utJH0Kx4cXoOQ,40.735053,-73.991343,116.0,manhattan
efPx1iuXNILUehQALROO6w,40.735207,-73.990143,219.0,manhattan
Md8t_6V51HcJn1WDetod4g,40.734522,-73.990114,119.0,manhattan
NIiUtglAlrubuRVuoKzhlQ,40.734086,-73.990954,188.0,manhattan
wccRVD42GqYq-xBOBcRt2w,40.735088,-73.99143599999998,115.0,manhattan
AAL3ggDMhYgEu2FKwTvtgA,40.735322,-73.990036,212.0,manhattan
7BZquAesoAoqr1atjVxdtg,40.734494,-73.990049,119.0,manhattan
BzNnejyVH8tPSXZrIkvwLQ,40.733992,-73.99097299999998,191.0,manhattan
06Fkf6pBqUIFd8pQjxiWIg,40.735107,-73.991489,115.0,manhattan
QtItoIvl0y0Lk77N16OrJA,40.735357,-73.990009,211.0,manhattan
Fe9TBadrB6cLBQlAo-GqDw,40.734444,-73.989931,118.0,manhattan
Vrv0eBL0ZpUXwHxeo4p5-g,40.734024,-73.99101,302.0,manhattan
TV56iHiwdKQ8ZYZG18Ozvg,40.733995,-73.99094699999998,302.0,manhattan
GD-M-RMmFCe44OOuCfrB7g,40.733944,-73.99098499999998,192.0,manhattan
TzfHqv7ZSf1iz88Ar9dmxw,40.73515,-73.99166499999998,65.0,manhattan
FjiTRCuH95Iv6SJVpE6Gyg,40.735348,-73.98998299999998,273.0,manhattan
oeZrWA18MPzqILDrs-trFg,40.73543,-73.989952,211.0,manhattan
hOu7XlwZ00ozwK4t5NLP4g,40.734441,-73.989908,358.0,manhattan
V1mTCCguMcH9ngSuHiVIeA,40.734077,-73.991123,301.0,manhattan
EEc4g-VgbRW8YZ0h_JKC7A,40.733943,-73.990836,299.0,manhattan
5S1pdyzPHRrL37i-FGJzxA,40.733854,-73.99100899999998,192.0,manhattan
MkXjoYKWOmyEY8Jel1qXcw,40.735194,-73.99169899999998,119.0,manhattan
vDJseCcWMoghMWl9b-LBbg,40.735332,-73.98988199999998,296.0,manhattan
jFMBXxj9KZlfPLu3on-cSg,40.735509,-73.989891,211.0,manhattan
QG5mifrZEhK7chJLqXSqLA,40.734497,-73.98990999999998,357.0,manhattan
EhwKnfIoH6-gSmyBw43ciQ,40.734421,-73.989874,118.0,manhattan
z-k3Xu3DHFcadsBGdTI2LA,40.73431,-73.989905,357.0,manhattan
MOuYpYpZhfQsNZr3shjvCw,40.734124,-73.991228,300.0,manhattan
AVnzKPGg0I48F50zl5RDHg,40.733895,-73.99071999999998,299.0,manhattan
mSMk_bTyFIhwBzkj2i6nBA,40.733768,-73.991037,195.0,manhattan
zUL69cnZsoNVJzPdwjeRmQ,40.735298,-73.991698,234.0,manhattan
7LElXCmEsm6YdPYBnVYa8Q,40.735231,-73.99178,118.0,manhattan
q1U0Wp-omOwshsTdxYMnng,40.735136,-73.99169999999998,50.0,manhattan
M8x91K5iuDi6ZVRpVMQbiQ,40.735282,-73.98989300000001,22.0,manhattan
qkdDsUAXsR_bS0aCJwiLgA,40.735366,-73.989841,24.0,manhattan
BBteFiqMj6Nchc0pnmx8jA,40.735334,-73.989811,325.0,manhattan
FKyaA5iqzKGoqV0cjsiSRA,40.73559,-73.989828,211.0,manhattan
1Gf1l_J5DSnCzTi56lBf8Q,40.734546,-73.989916,355.0,manhattan
jpbV9m68LB3UYbpHAQ41lQ,40.734378,-73.989767,118.0,manhattan
