PreXwwylmG23hnheZ__zGw,-476.04037689100926,-4308.680743038112,35.0,manhattan,[1],[36]
KvVpitc2A3TGm62WMnWezA,-470.8981041325554,-4315.693541712131,35.0,manhattan,[3],[36]
z2NHNmEClTbKyRHYDy3SrA,-481.09835984771604,-4301.779261944831,35.0,manhattan,[0],[36]
qsl5om--I0kZi23Usl3loA,-465.75584112972973,-4322.706343962134,36.0,manhattan,[5],[36]
zy6cLa1Vj1mQMaoKQUpDQQ,-486.2406446313002,-4294.8777898531125,35.0,manhattan,[2],[36]
MKtN-miE7D8Sn7XSV6FZDg,-460.52929588760026,-4329.719144536735,36.0,manhattan,[7],[36]
XETBvcvgMGXy98zM0aUxIA,-491.29865394536665,-4287.864996245659,35.0,manhattan,[4],[36]
eEvh4QrtVyvQjJI6BT7NlA,-455.3027605589466,-4336.731948804867,36.0,manhattan,[9],[36]
XSqq-fNLRumeAB_mWOcoqg,-496.4409579292018,-4280.963531246426,35.0,manhattan,[6],[36]
C5cKCYx-sJC60-vkOxIGUA,-450.1605269760107,-4343.744761898241,36.0,manhattan,[11],[36]
ttmEjmYpMpUuU5rKxKBDtQ,-501.41467870902915,-4274.173377879052,35.0,manhattan,[8],[36]
qVQOKyetuYkPjcMrPgVRSA,-444.9340113913006,-4350.757573493952,35.0,manhattan,[13],[35]
PHLnPXkKg6lMTsoNDiqCVw,-506.3884162450587,-4267.2719083662905,35.0,manhattan,[10],[35]
W5qHz8RB540bCB0mZoIL0Q,-439.8760890684382,-4357.770398811524,34.0,manhattan,[16],[32]
8915v3hjpC7kz_c5qugSzw,-511.2778625871334,-4260.481755859985,34.0,manhattan,[12],[35]
usR8sESazS4f1rKiJIXxPw,-437.01078411137706,-4347.417516220176,29.0,manhattan,[13],[345]
8QIeofp-Ql-EfvJtY_YI2A,-430.2659834008706,-4372.4640061809505,30.0,manhattan,[19],[30]
lRAycEeukH-IupvtSja-GA,-516.1673256776311,-4253.580287094994,34.0,manhattan,[14],[35]
NFGgkW5pl6SNlkuSvReP2w,-440.29854176023633,-4341.07250026744,28.0,manhattan,[15],[27]
L94_6lzcrN34WTYaK0RZrQ,-425.79809775374156,-4380.033472939281,30.0,manhattan,[22],[30]
6wZdZyWckoedGblEQ6rKcw,-520.8882041744928,-4246.790129175854,33.0,manhattan,[17],[34]
FQF4emWeFI5rzGgh620bGg,-444.4293247606741,-4333.057744031635,27.0,manhattan,[18],[27]
y8vTcIjWbs1ioXWaBxlNrw,-421.33021490651146,-4387.714261887472,29.0,manhattan,[25],[29]
