0,1,4,8,12,16,20,24,28,32
0,1,5,1,4,8,12,16,20,24
0,1,5,1,5,1,4,8,12,16
0,1,5,1,5,1,5,1,4,8
0,1,5,1,5,1,5,1,5,1
0,1,5,1,5,1,5,1,3,7
0,1,5,1,5,1,3,7,11,15
0,1,5,1,3,7,11,15,19,23
0,1,3,7,11,15,19,23,27,31
1,4,8,12,16,20,24,28,32,36
1,5,1,4,8,12,16,20,24,28
1,5,1,5,1,4,8,12,16,20
1,5,1,5,1,5,1,4,8,12
1,5,1,5,1,5,1,5,1,4
1,5,1,5,1,5,1,5,1,5
1,5,1,5,1,5,1,5,1,3
1,5,1,5,1,5,1,3,7,11
1,5,1,5,1,3,7,11,15,19
1,5,1,3,7,11,15,19,23,27
1,3,7,11,15,19,23,27,31,35
2,0,1,4,8,12,16,20,24,28
2,0,1,5,1,4,8,12,16,20
2,0,1,5,1,5,1,4,8,12
2,0,1,5,1,5,1,5,1,4
2,0,1,5,1,5,1,5,1,5
2,0,1,5,1,5,1,5,1,3
2,0,1,5,1,5,1,3,7,11
2,0,1,5,1,3,7,11,15,19
2,0,1,3,7,11,15,19,23,27
3,7,11,15,19,23,27,31,35,39
4,8,12,16,20,24,28,32,36,42
5,1,4,8,12,16,20,24,28,32
5,1,5,1,4,8,12,16,20,24
5,1,5,1,5,1,4,8,12,16
5,1,5,1,5,1,5,1,4,8
5,1,5,1,5,1,5,1,5,1
5,1,5,1,5,1,5,1,3,7
5,1,5,1,5,1,3,7,11,15
5,1,5,1,3,7,11,15,19,23
5,1,3,7,11,15,19,23,27,31
6,2,0,1,4,8,12,16,20,24
6,2,0,1,5,1,4,8,12,16
6,2,0,1,5,1,5,1,4,8
6,2,0,1,5,1,5,1,5,1
6,2,0,1,5,1,5,1,3,7
6,2,0,1,5,1,3,7,11,15
6,2,0,1,3,7,11,15,19,23
7,11,15,19,23,27,31,35,39,46
8,12,16,20,24,28,32,36,42,49
9,5,1,4,8,12,16,20,24,28
9,5,1,5,1,4,8,12,16,20
9,5,1,5,1,5,1,4,8,12
