4,0,2,6,8
1,2,0,6,4
4,8,11,2,6
2,1,0,4,3
14,8,11,6,4
1,0,2,3,5
11,17,8,14,6
1,5,0,3,7
8,20,14,11,17
1,5,3,7,9
13,23,16,19,10
11,14,24,17,20
9,5,12,7,3
19,13,23,16,27
24,20,17,28,14
7,15,9,12,5
31,23,27,19,16
17,28,24,32,20
18,21,33,25,29
9,7,15,12,18
31,35,19,27,23
32,24,20,28,36
25,29,21,33,37
25,18,21,22,29
22,18,15,12,9
39,31,35,27,23
32,41,28,24,36
37,42,33,29,25
21,25,22,26,18
15,26,22,12,18
44,35,27,39,31
28,32,47,41,36
48,29,33,37,42
26,30,21,22,18
22,15,26,30,18
50,31,35,39,44
53,47,41,32,36
54,37,42,33,48
30,22,26,18,34
35,39,57,44,50
47,41,53,60,36
61,54,48,42,37
22,38,34,26,30
44,50,57,64,39
53,36,47,40,41
60,41,53,47,67
42,54,48,61,68
43,30,38,34,26
50,57,72,44,64
36,47,41,45,40
47,36,46,40,41
60,47,53,67,75
61,68,54,76,48
30,43,34,38,49
72,50,64,80,57
40,36,32,45,51
45,51,41,36,40
52,46,32,40,36
46,40,41,52,36
53,75,60,83,67
61,68,54,76,84
55,43,49,34,38
72,50,56,57,64
57,72,64,88,80
36,58,45,40,51
45,40,52,59,46
59,46,36,52,40
92,83,75,60,67
76,93,84,68,61
43,55,49,62,38
57,56,64,50,63
80,88,64,97,72
58,51,40,45,65
46,52,59,66,40
75,67,83,92,101
68,93,84,102,76
68,93,84,76,103
50,56,63,71,57
71,44,63,50,56
72,80,108,88,97
51,45,65,73,58
52,74,59,46,66
92,112,75,83,101
103,76,93,114,84
71,56,50,63,79
88,97,108,119,80
81,51,65,73,58
66,74,52,59,82
112,123,83,92,101
93,103,125,114,84
56,63,71,87,79
97,119,108,88,130
58,81,89,73,65
121,110,99,132,90
74,82,91,66,59
101,123,92,135,112
114,93,137,125,103
96,87,63,71,79
108,142,97,130,119
65,98,73,89,81
132,144,99,110,121
91,66,82,100,74
148,101,112,123,135
114,103,125,102,93
125,137,151,114,103
115,138,126,152,104
77,69,85,105,94
79,107,87,96,71
142,119,130,156,108
98,89,81,73,109
155,110,132,144,121
82,91,74,111,100
112,135,161,148,123
114,113,93,102,103
137,114,151,164,125
126,138,165,152,115
94,85,77,116,105
118,107,79,96,87
130,142,156,119,169
81,109,98,89,120
132,155,141,144,121
171,145,159,122,133
122,82,91,100,111
135,148,123,173,161
103,124,93,113,102
164,137,176,151,125
177,126,138,152,165
94,105,127,116,85
87,118,96,129,107
130,156,183,142,169
156,130,184,169,142
98,120,89,109,131
155,129,132,144,141
111,122,133,100,91
133,145,159,186,171
134,133,122,159,145
122,100,111,134,91
189,148,161,173,135
136,124,93,102,113
151,192,164,176,137
193,152,165,177,138
116,139,127,105,94
106,117,95,140,128
96,141,118,129,107
169,201,142,184,156
143,109,120,131,98
118,144,155,129,141
159,145,186,204,171
134,146,133,145,122
122,111,100,134,146
158,120,131,147,143
207,148,173,161,189
149,161,173,148,135
102,136,150,113,124
210,151,192,176,164
211,165,152,177,193
116,139,105,153,127
117,106,154,140,128
107,118,129,155,141
219,156,184,169,201
143,109,157,120,131
131,120,109,158,143
171,222,159,204,186
146,134,160,133,122
122,146,160,134,111
173,225,207,161,189
162,135,161,149,148
163,124,150,136,113
164,192,176,228,210
177,229,165,193,211
166,194,212,230,178
232,214,196,180,166
128,167,140,117,154
156,168,184,201,169
237,201,184,219,169
157,170,120,143,131
171,204,240,222,186
134,172,122,160,146
225,173,207,243,189
148,149,174,162,135
124,136,175,163,150
176,228,246,192,210
192,247,176,210,228
211,177,229,248,193
230,194,249,212,178
251,196,180,232,214
140,167,154,128,181
168,183,169,182,156
156,169,182,168,184
183,219,169,201,184
184,237,256,201,219
170,131,185,157,143
259,222,186,240,204
172,146,187,134,160
172,146,160,188,134
262,243,189,225,207
162,149,190,135,174
150,175,191,163,136
265,210,246,192,228
247,266,210,228,192
267,193,229,211,248
214,251,270,196,232
154,140,181,167,197
181,140,198,154,167
169,182,199,156,168
201,183,184,169,200
201,275,237,219,256
220,202,257,274,238
185,203,170,157,143
240,204,259,222,277
160,146,172,205,187
206,160,172,188,146
262,207,225,280,243
149,208,190,174,162
191,209,163,150,175
246,283,210,265,228
210,247,266,228,284
248,229,211,267,285
288,270,232,251,214
167,181,197,215,154
198,181,167,216,154
156,182,217,199,168
200,169,183,184,218
256,275,219,237,293
220,238,255,274,257
185,203,221,170,157
277,240,259,222,295
160,205,187,223,172
188,172,206,224,160
280,299,243,225,262
190,174,208,162,226
175,191,227,209,163
283,265,246,302,228
284,266,228,303,247
304,267,285,229,248
307,232,251,270,288
215,233,181,167,197
234,216,198,167,181
235,217,182,168,199
236,200,218,169,183
275,293,312,256,237
257,274,238,236,255
185,203,239,170,221
240,277,295,314,259
223,187,172,205,241
224,206,172,242,188
